torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 0, Loss: 8.953e-01, lamd1: -0.000, lamd2: -0.00009, Time: 0.11
It: 100, Loss: 1.610e-01, lamd1: -0.086, lamd2: 0.01165, Time: 21.15
It: 200, Loss: 1.618e-01, lamd1: 0.016, lamd2: 0.00633, Time: 21.69
It: 300, Loss: 1.491e-01, lamd1: -0.008, lamd2: 0.00696, Time: 21.69
It: 400, Loss: 1.295e-01, lamd1: -0.006, lamd2: 0.00650, Time: 21.69
It: 500, Loss: 1.199e-01, lamd1: -0.055, lamd2: -0.00057, Time: 21.41
It: 600, Loss: 1.196e-01, lamd1: -0.018, lamd2: 0.00009, Time: 21.46
It: 700, Loss: 1.194e-01, lamd1: -0.010, lamd2: 0.00004, Time: 21.44
It: 800, Loss: 1.192e-01, lamd1: 0.007, lamd2: -0.00007, Time: 21.56
It: 900, Loss: 1.190e-01, lamd1: 0.012, lamd2: -0.00013, Time: 21.72
It: 1000, Loss: 1.166e-01, lamd1: -0.005, lamd2: -0.00039, Time: 21.68
It: 1100, Loss: 1.206e-01, lamd1: -0.128, lamd2: -0.00009, Time: 21.71
It: 1200, Loss: 1.162e-01, lamd1: -0.034, lamd2: 0.00045, Time: 21.70
It: 1300, Loss: 9.910e-02, lamd1: 0.004, lamd2: -0.00005, Time: 21.68
It: 1400, Loss: 9.639e-02, lamd1: -0.001, lamd2: -0.00013, Time: 21.70
It: 1500, Loss: 9.482e-02, lamd1: 0.003, lamd2: 0.00010, Time: 21.68
It: 1600, Loss: 1.001e-01, lamd1: 0.002, lamd2: 0.00029, Time: 21.69
It: 1700, Loss: 9.403e-02, lamd1: 0.003, lamd2: 0.00038, Time: 21.70
It: 1800, Loss: 9.396e-02, lamd1: 0.003, lamd2: 0.00033, Time: 21.71
It: 1900, Loss: 9.450e-02, lamd1: 0.003, lamd2: -0.00084, Time: 21.72
It: 2000, Loss: 9.393e-02, lamd1: 0.002, lamd2: 0.00042, Time: 21.69
It: 2100, Loss: 9.486e-02, lamd1: 0.002, lamd2: 0.00028, Time: 21.68
It: 2200, Loss: 9.388e-02, lamd1: 0.003, lamd2: 0.00011, Time: 21.69
It: 2300, Loss: 9.386e-02, lamd1: 0.003, lamd2: -0.00017, Time: 21.71
It: 2400, Loss: 9.484e-02, lamd1: 0.002, lamd2: 0.00042, Time: 21.68
It: 2500, Loss: 9.389e-02, lamd1: 0.003, lamd2: 0.00004, Time: 21.62
It: 2600, Loss: 9.354e-02, lamd1: 0.003, lamd2: 0.00004, Time: 21.62
It: 2700, Loss: 9.480e-02, lamd1: 0.002, lamd2: 0.00025, Time: 21.64
It: 2800, Loss: 9.429e-02, lamd1: 0.001, lamd2: 0.00053, Time: 21.66
It: 2900, Loss: 9.364e-02, lamd1: 0.001, lamd2: 0.00025, Time: 21.66
It: 3000, Loss: 9.390e-02, lamd1: 0.001, lamd2: -0.00023, Time: 21.68
It: 3100, Loss: 9.455e-02, lamd1: 0.000, lamd2: 0.00006, Time: 21.67
It: 3200, Loss: 9.435e-02, lamd1: -0.001, lamd2: 0.00048, Time: 21.60
It: 3300, Loss: 9.402e-02, lamd1: -0.001, lamd2: -0.00037, Time: 21.50
It: 3400, Loss: 9.346e-02, lamd1: -0.001, lamd2: 0.00017, Time: 21.49
It: 3500, Loss: 9.389e-02, lamd1: -0.002, lamd2: 0.00030, Time: 21.44
It: 3600, Loss: 9.394e-02, lamd1: -0.001, lamd2: 0.00031, Time: 21.55
