torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 0, Loss: 8.937e-01, lamd1: -0.000, lamd2: -0.00009, Time: 0.41
It: 100, Loss: 1.601e-01, lamd1: -0.077, lamd2: 0.01676, Time: 10.31
It: 200, Loss: 1.494e-01, lamd1: 0.068, lamd2: -0.00381, Time: 10.26
It: 300, Loss: 1.259e-01, lamd1: -0.005, lamd2: 0.00117, Time: 10.23
It: 400, Loss: 1.219e-01, lamd1: -0.062, lamd2: 0.00068, Time: 10.25
It: 500, Loss: 1.169e-01, lamd1: -0.001, lamd2: -0.00049, Time: 10.24
It: 600, Loss: 1.091e-01, lamd1: 0.022, lamd2: -0.00016, Time: 10.25
It: 700, Loss: 9.890e-02, lamd1: 0.007, lamd2: 0.00096, Time: 10.25
It: 800, Loss: 9.740e-02, lamd1: 0.004, lamd2: 0.00025, Time: 10.28
It: 900, Loss: 9.610e-02, lamd1: 0.004, lamd2: 0.00017, Time: 10.59
It: 1000, Loss: 9.668e-02, lamd1: -0.000, lamd2: 0.00013, Time: 10.58
It: 1100, Loss: 9.539e-02, lamd1: -0.001, lamd2: 0.00004, Time: 10.57
It: 1200, Loss: 9.547e-02, lamd1: 0.000, lamd2: 0.00007, Time: 10.59
It: 1300, Loss: 9.578e-02, lamd1: 0.001, lamd2: 0.00008, Time: 10.60
It: 1400, Loss: 9.545e-02, lamd1: 0.000, lamd2: 0.00008, Time: 10.56
It: 1500, Loss: 9.550e-02, lamd1: 0.000, lamd2: 0.00012, Time: 10.67
It: 1600, Loss: 9.554e-02, lamd1: 0.000, lamd2: 0.00005, Time: 10.55
It: 1700, Loss: 9.523e-02, lamd1: 0.000, lamd2: -0.00000, Time: 10.24
It: 1800, Loss: 9.500e-02, lamd1: 0.000, lamd2: 0.00008, Time: 10.26
It: 1900, Loss: 9.508e-02, lamd1: 0.000, lamd2: -0.00008, Time: 10.24
It: 2000, Loss: 9.556e-02, lamd1: -0.001, lamd2: 0.00018, Time: 10.25
It: 2100, Loss: 9.495e-02, lamd1: -0.000, lamd2: -0.00009, Time: 10.24
It: 2200, Loss: 9.583e-02, lamd1: -0.001, lamd2: 0.00021, Time: 10.25
It: 2300, Loss: 9.489e-02, lamd1: -0.000, lamd2: -0.00003, Time: 10.23
It: 2400, Loss: 9.487e-02, lamd1: -0.000, lamd2: -0.00009, Time: 10.23
It: 2500, Loss: 9.538e-02, lamd1: -0.001, lamd2: 0.00019, Time: 10.24
It: 2600, Loss: 9.521e-02, lamd1: -0.000, lamd2: 0.00028, Time: 10.24
