torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 0, Loss: 8.939e-01, lamd1: -0.000, lamd2: -0.00009, Time: 0.56
It: 100, Loss: 1.621e-01, lamd1: -0.097, lamd2: 0.01585, Time: 53.47
It: 200, Loss: 1.632e-01, lamd1: 0.157, lamd2: -0.00598, Time: 53.21
It: 300, Loss: 1.211e-01, lamd1: -0.033, lamd2: 0.00061, Time: 52.91
It: 400, Loss: 1.163e-01, lamd1: -0.001, lamd2: 0.00009, Time: 53.50
It: 500, Loss: 9.869e-02, lamd1: 0.016, lamd2: 0.00063, Time: 53.48
It: 600, Loss: 9.534e-02, lamd1: 0.031, lamd2: 0.00068, Time: 53.46
It: 700, Loss: 9.457e-02, lamd1: 0.006, lamd2: 0.00034, Time: 53.48
It: 800, Loss: 9.435e-02, lamd1: 0.002, lamd2: 0.00043, Time: 53.47
It: 900, Loss: 9.489e-02, lamd1: 0.002, lamd2: 0.00001, Time: 53.45
It: 1000, Loss: 9.562e-02, lamd1: 0.002, lamd2: 0.00088, Time: 53.43
It: 1100, Loss: 9.486e-02, lamd1: 0.003, lamd2: 0.00051, Time: 53.30
It: 1200, Loss: 9.427e-02, lamd1: 0.002, lamd2: 0.00034, Time: 53.36
It: 1300, Loss: 9.434e-02, lamd1: 0.002, lamd2: 0.00046, Time: 53.34
It: 1400, Loss: 9.442e-02, lamd1: 0.001, lamd2: 0.00039, Time: 52.96
It: 1500, Loss: 9.410e-02, lamd1: 0.000, lamd2: 0.00015, Time: 53.05
It: 1600, Loss: 9.771e-02, lamd1: -0.000, lamd2: 0.00078, Time: 53.26
It: 1700, Loss: 9.454e-02, lamd1: -0.001, lamd2: 0.00024, Time: 53.06
It: 1800, Loss: 9.395e-02, lamd1: -0.001, lamd2: 0.00010, Time: 53.22
It: 1900, Loss: 9.520e-02, lamd1: -0.002, lamd2: -0.00020, Time: 53.15
It: 2000, Loss: 9.448e-02, lamd1: -0.002, lamd2: 0.00008, Time: 53.18
It: 2100, Loss: 9.490e-02, lamd1: -0.003, lamd2: 0.00015, Time: 53.16
It: 2200, Loss: 9.515e-02, lamd1: -0.004, lamd2: 0.00032, Time: 53.15
It: 2300, Loss: 9.418e-02, lamd1: -0.003, lamd2: 0.00029, Time: 53.31
It: 2400, Loss: 9.558e-02, lamd1: -0.004, lamd2: 0.00017, Time: 53.07
It: 2500, Loss: 9.399e-02, lamd1: -0.003, lamd2: 0.00023, Time: 53.41
It: 2600, Loss: 9.433e-02, lamd1: -0.003, lamd2: -0.00012, Time: 53.46
It: 2700, Loss: 9.413e-02, lamd1: -0.003, lamd2: 0.00013, Time: 53.48
It: 2800, Loss: 9.787e-02, lamd1: -0.003, lamd2: 0.00006, Time: 53.49
It: 2900, Loss: 9.660e-02, lamd1: -0.004, lamd2: -0.00014, Time: 53.49
It: 3000, Loss: 9.471e-02, lamd1: -0.004, lamd2: 0.00042, Time: 53.46
It: 3100, Loss: 9.409e-02, lamd1: -0.004, lamd2: -0.00004, Time: 53.42
It: 3200, Loss: 9.434e-02, lamd1: -0.004, lamd2: 0.00003, Time: 53.43
It: 3300, Loss: 9.422e-02, lamd1: -0.004, lamd2: 0.00006, Time: 53.41
It: 3400, Loss: 9.454e-02, lamd1: -0.003, lamd2: -0.00026, Time: 53.45
It: 3500, Loss: 9.392e-02, lamd1: -0.003, lamd2: -0.00009, Time: 53.41
It: 3600, Loss: 9.708e-02, lamd1: -0.004, lamd2: 0.00079, Time: 53.20
It: 3700, Loss: 9.525e-02, lamd1: -0.004, lamd2: 0.00041, Time: 53.21
It: 3800, Loss: 9.397e-02, lamd1: -0.003, lamd2: -0.00021, Time: 53.19
It: 3900, Loss: 9.450e-02, lamd1: -0.003, lamd2: -0.00047, Time: 53.16
It: 4000, Loss: 9.477e-02, lamd1: -0.004, lamd2: 0.00019, Time: 53.22
It: 4100, Loss: 9.404e-02, lamd1: -0.003, lamd2: -0.00000, Time: 53.18
It: 4200, Loss: 9.486e-02, lamd1: -0.004, lamd2: -0.00036, Time: 53.18
It: 4300, Loss: 9.535e-02, lamd1: -0.004, lamd2: 0.00071, Time: 53.27
It: 4400, Loss: 9.521e-02, lamd1: 0.018, lamd2: 0.00121, Time: 53.50
It: 4500, Loss: 1.120e-01, lamd1: -0.055, lamd2: 0.00656, Time: 53.50
It: 4600, Loss: 9.576e-02, lamd1: -0.000, lamd2: -0.00017, Time: 53.46
It: 4700, Loss: 9.447e-02, lamd1: -0.002, lamd2: -0.00003, Time: 53.48
It: 4800, Loss: 9.409e-02, lamd1: -0.002, lamd2: 0.00007, Time: 53.45
It: 4900, Loss: 9.395e-02, lamd1: -0.001, lamd2: 0.00008, Time: 53.46
It: 5000, Loss: 9.389e-02, lamd1: -0.001, lamd2: 0.00007, Time: 53.50
It: 5100, Loss: 9.369e-02, lamd1: -0.000, lamd2: 0.00008, Time: 53.48
It: 5200, Loss: 9.367e-02, lamd1: 0.019, lamd2: 0.00002, Time: 53.46
It: 5300, Loss: 9.348e-02, lamd1: -0.012, lamd2: -0.00041, Time: 53.46
It: 5400, Loss: 8.979e-02, lamd1: 0.499, lamd2: 0.01201, Time: 53.42
It: 5500, Loss: 7.209e-02, lamd1: 0.820, lamd2: 0.02124, Time: 53.51
It: 5600, Loss: 6.208e-02, lamd1: 0.843, lamd2: 0.01953, Time: 53.30
It: 5700, Loss: 5.031e-02, lamd1: 0.877, lamd2: 0.01986, Time: 53.24
It: 5800, Loss: 3.487e-02, lamd1: 0.876, lamd2: 0.01741, Time: 53.45
It: 5900, Loss: 2.238e-02, lamd1: 0.887, lamd2: 0.01152, Time: 53.52
It: 6000, Loss: 2.022e-02, lamd1: 0.891, lamd2: 0.01167, Time: 53.44
It: 6100, Loss: 1.546e-02, lamd1: 0.904, lamd2: 0.01285, Time: 53.49
It: 6200, Loss: 1.256e-02, lamd1: 0.926, lamd2: 0.01297, Time: 53.03
It: 6300, Loss: 1.391e-02, lamd1: 0.937, lamd2: 0.01449, Time: 53.06
It: 6400, Loss: 1.049e-02, lamd1: 0.945, lamd2: 0.01362, Time: 53.28
It: 6500, Loss: 9.385e-03, lamd1: 0.951, lamd2: 0.01404, Time: 53.09
