torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 0, Loss: 8.937e-01, lamd1: -0.000, lamd2: 0.00004, Time: 0.11
It: 100, Loss: 7.891e-01, lamd1: 0.001, lamd2: -0.00246, Time: 6.63
It: 200, Loss: 5.537e-01, lamd1: -0.380, lamd2: 0.00026, Time: 6.49
It: 300, Loss: 3.998e-01, lamd1: -0.015, lamd2: 0.00031, Time: 6.50
It: 400, Loss: 3.138e-01, lamd1: 0.010, lamd2: -0.00081, Time: 6.45
It: 500, Loss: 2.520e-01, lamd1: 0.011, lamd2: -0.00140, Time: 6.57
It: 600, Loss: 1.988e-01, lamd1: 0.024, lamd2: 0.00011, Time: 6.96
It: 700, Loss: 1.577e-01, lamd1: 0.022, lamd2: -0.00052, Time: 6.53
It: 800, Loss: 1.322e-01, lamd1: 0.018, lamd2: 0.00015, Time: 6.33
It: 900, Loss: 1.192e-01, lamd1: 0.020, lamd2: 0.00028, Time: 6.45
It: 1000, Loss: 1.130e-01, lamd1: 0.023, lamd2: -0.00027, Time: 5.97
It: 1100, Loss: 1.099e-01, lamd1: 0.022, lamd2: 0.00078, Time: 5.36
It: 1200, Loss: 1.081e-01, lamd1: 0.025, lamd2: -0.00177, Time: 5.45
It: 1300, Loss: 1.068e-01, lamd1: 0.021, lamd2: 0.00008, Time: 5.09
It: 1400, Loss: 1.060e-01, lamd1: 0.019, lamd2: 0.00064, Time: 6.62
It: 1500, Loss: 1.053e-01, lamd1: 0.019, lamd2: -0.00000, Time: 6.58
It: 1600, Loss: 1.046e-01, lamd1: 0.018, lamd2: -0.00001, Time: 6.61
It: 1700, Loss: 1.036e-01, lamd1: 0.047, lamd2: 0.00042, Time: 6.14
It: 1800, Loss: 1.023e-01, lamd1: 0.139, lamd2: 0.00213, Time: 5.69
It: 1900, Loss: 1.014e-01, lamd1: 0.209, lamd2: 0.00344, Time: 6.84
It: 2000, Loss: 1.008e-01, lamd1: 0.252, lamd2: 0.00432, Time: 6.50
It: 2100, Loss: 1.002e-01, lamd1: 0.277, lamd2: 0.00472, Time: 6.50
It: 2200, Loss: 9.970e-02, lamd1: 0.291, lamd2: 0.00533, Time: 6.48
It: 2300, Loss: 9.925e-02, lamd1: 0.301, lamd2: 0.00589, Time: 6.51
It: 2400, Loss: 9.882e-02, lamd1: 0.307, lamd2: 0.00601, Time: 6.56
It: 2500, Loss: 9.843e-02, lamd1: 0.312, lamd2: 0.00625, Time: 6.32
It: 2600, Loss: 9.806e-02, lamd1: 0.312, lamd2: 0.00639, Time: 6.54
It: 2700, Loss: 9.773e-02, lamd1: 0.302, lamd2: 0.00665, Time: 6.54
It: 2800, Loss: 9.746e-02, lamd1: 0.297, lamd2: 0.00607, Time: 6.53
It: 2900, Loss: 9.721e-02, lamd1: 0.290, lamd2: 0.00602, Time: 6.53
It: 3000, Loss: 9.699e-02, lamd1: 0.283, lamd2: 0.00583, Time: 6.72
It: 3100, Loss: 9.678e-02, lamd1: 0.274, lamd2: 0.00560, Time: 6.52
It: 3200, Loss: 9.659e-02, lamd1: 0.265, lamd2: 0.00525, Time: 6.51
It: 3300, Loss: 9.633e-02, lamd1: 0.259, lamd2: 0.00547, Time: 6.57
It: 3400, Loss: 9.610e-02, lamd1: 0.251, lamd2: 0.00533, Time: 6.24
It: 3500, Loss: 9.592e-02, lamd1: 0.240, lamd2: 0.00497, Time: 6.56
It: 3600, Loss: 9.577e-02, lamd1: 0.229, lamd2: 0.00466, Time: 6.46
It: 3700, Loss: 9.563e-02, lamd1: 0.219, lamd2: 0.00444, Time: 6.60
It: 3800, Loss: 9.549e-02, lamd1: 0.210, lamd2: 0.00420, Time: 6.50
It: 3900, Loss: 9.536e-02, lamd1: 0.202, lamd2: 0.00403, Time: 6.23
It: 4000, Loss: 9.523e-02, lamd1: 0.196, lamd2: 0.00383, Time: 6.58
It: 4100, Loss: 9.511e-02, lamd1: 0.190, lamd2: 0.00373, Time: 6.51
It: 4200, Loss: 9.500e-02, lamd1: 0.185, lamd2: 0.00361, Time: 6.30
It: 4300, Loss: 9.489e-02, lamd1: 0.181, lamd2: 0.00353, Time: 6.52
It: 4400, Loss: 9.479e-02, lamd1: 0.177, lamd2: 0.00345, Time: 6.48
It: 4500, Loss: 9.470e-02, lamd1: 0.175, lamd2: 0.00204, Time: 6.45
It: 4600, Loss: 9.460e-02, lamd1: 0.171, lamd2: 0.00333, Time: 6.84
It: 4700, Loss: 9.451e-02, lamd1: 0.167, lamd2: 0.00380, Time: 6.31
It: 4800, Loss: 9.443e-02, lamd1: 0.166, lamd2: 0.00327, Time: 4.91
It: 4900, Loss: 9.436e-02, lamd1: 0.164, lamd2: 0.00322, Time: 6.45
It: 5000, Loss: 9.429e-02, lamd1: 0.163, lamd2: 0.00309, Time: 6.76
It: 5100, Loss: 9.423e-02, lamd1: 0.162, lamd2: 0.00323, Time: 5.20
It: 5200, Loss: 9.416e-02, lamd1: 0.161, lamd2: 0.00323, Time: 6.52
It: 5300, Loss: 9.410e-02, lamd1: 0.161, lamd2: 0.00323, Time: 6.24
It: 5400, Loss: 9.405e-02, lamd1: 0.160, lamd2: 0.00322, Time: 6.32
It: 5500, Loss: 9.399e-02, lamd1: 0.160, lamd2: 0.00333, Time: 6.42
It: 5600, Loss: 9.394e-02, lamd1: 0.159, lamd2: 0.00352, Time: 6.51
It: 5700, Loss: 9.390e-02, lamd1: 0.160, lamd2: 0.00251, Time: 6.53
It: 5800, Loss: 9.385e-02, lamd1: 0.158, lamd2: 0.00317, Time: 6.21
It: 5900, Loss: 9.380e-02, lamd1: 0.157, lamd2: 0.00296, Time: 6.52
It: 6000, Loss: 9.375e-02, lamd1: 0.155, lamd2: 0.00311, Time: 6.44
It: 6100, Loss: 9.370e-02, lamd1: 0.155, lamd2: 0.00332, Time: 5.44
It: 6200, Loss: 9.366e-02, lamd1: 0.156, lamd2: 0.00309, Time: 6.36
It: 6300, Loss: 9.362e-02, lamd1: 0.158, lamd2: 0.00292, Time: 6.65
It: 6400, Loss: 9.358e-02, lamd1: 0.159, lamd2: 0.00335, Time: 6.49
It: 6500, Loss: 9.355e-02, lamd1: 0.160, lamd2: 0.00355, Time: 6.40
It: 6600, Loss: 9.352e-02, lamd1: 0.162, lamd2: 0.00341, Time: 6.64
It: 6700, Loss: 9.349e-02, lamd1: 0.164, lamd2: 0.00363, Time: 6.80
It: 6800, Loss: 9.346e-02, lamd1: 0.166, lamd2: 0.00347, Time: 6.56
It: 6900, Loss: 9.343e-02, lamd1: 0.167, lamd2: 0.00363, Time: 6.25
It: 7000, Loss: 9.341e-02, lamd1: 0.169, lamd2: 0.00355, Time: 5.32
It: 7100, Loss: 9.338e-02, lamd1: 0.171, lamd2: 0.00337, Time: 6.50
It: 7200, Loss: 9.336e-02, lamd1: 0.173, lamd2: 0.00360, Time: 6.49
It: 7300, Loss: 9.334e-02, lamd1: 0.174, lamd2: 0.00356, Time: 6.37
It: 7400, Loss: 9.332e-02, lamd1: 0.176, lamd2: 0.00375, Time: 6.51
It: 7500, Loss: 9.331e-02, lamd1: 0.177, lamd2: 0.00389, Time: 6.55
It: 7600, Loss: 9.329e-02, lamd1: 0.179, lamd2: 0.00368, Time: 6.25
It: 7700, Loss: 9.327e-02, lamd1: 0.180, lamd2: 0.00375, Time: 6.58
It: 7800, Loss: 9.326e-02, lamd1: 0.182, lamd2: 0.00299, Time: 6.42
It: 7900, Loss: 9.325e-02, lamd1: 0.182, lamd2: 0.00380, Time: 6.59
It: 8000, Loss: 9.324e-02, lamd1: 0.183, lamd2: 0.00390, Time: 6.51
It: 8100, Loss: 9.323e-02, lamd1: 0.184, lamd2: 0.00384, Time: 6.44
It: 8200, Loss: 9.322e-02, lamd1: 0.185, lamd2: 0.00368, Time: 6.49
It: 8300, Loss: 9.321e-02, lamd1: 0.185, lamd2: 0.00420, Time: 6.65
It: 8400, Loss: 9.320e-02, lamd1: 0.186, lamd2: 0.00321, Time: 6.35
It: 8500, Loss: 9.320e-02, lamd1: 0.187, lamd2: 0.00297, Time: 6.52
It: 8600, Loss: 9.319e-02, lamd1: 0.187, lamd2: 0.00362, Time: 6.53
It: 8700, Loss: 9.318e-02, lamd1: 0.187, lamd2: 0.00390, Time: 6.36
It: 8800, Loss: 9.317e-02, lamd1: 0.187, lamd2: 0.00399, Time: 6.55
It: 8900, Loss: 9.316e-02, lamd1: 0.188, lamd2: 0.00391, Time: 6.58
It: 9000, Loss: 9.315e-02, lamd1: 0.188, lamd2: 0.00374, Time: 6.50
It: 9100, Loss: 9.315e-02, lamd1: 0.189, lamd2: 0.00384, Time: 6.40
It: 9200, Loss: 9.314e-02, lamd1: 0.188, lamd2: 0.00421, Time: 6.57
It: 9300, Loss: 9.314e-02, lamd1: 0.189, lamd2: 0.00399, Time: 6.49
It: 9400, Loss: 9.313e-02, lamd1: 0.189, lamd2: 0.00404, Time: 6.48
It: 9500, Loss: 9.313e-02, lamd1: 0.189, lamd2: 0.00391, Time: 6.55
It: 9600, Loss: 9.313e-02, lamd1: 0.190, lamd2: 0.00346, Time: 6.42
It: 9700, Loss: 9.312e-02, lamd1: 0.189, lamd2: 0.00389, Time: 6.60
It: 9800, Loss: 9.312e-02, lamd1: 0.190, lamd2: 0.00374, Time: 6.60
It: 9900, Loss: 9.312e-02, lamd1: 0.189, lamd2: 0.00419, Time: 6.80
It: 10000, Loss: 9.312e-02, lamd1: 0.190, lamd2: 0.00378, Time: 4.87
It: 10100, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 6.51
It: 10200, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 5.22
It: 10300, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 6.48
It: 10400, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 6.93
It: 10500, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 6.57
It: 10600, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 6.61
It: 10700, Loss: 9.311e-02, lamd1: 0.190, lamd2: 0.00386, Time: 6.48
It: 10800, Loss: 9.310e-02, lamd1: 0.190, lamd2: 0.00385, Time: 6.58
It: 10900, Loss: 9.310e-02, lamd1: 0.190, lamd2: 0.00385, Time: 6.16
It: 11000, Loss: 9.310e-02, lamd1: 0.190, lamd2: 0.00385, Time: 5.37
It: 11100, Loss: 9.310e-02, lamd1: 0.190, lamd2: 0.00385, Time: 5.37
